id;isin;internal_code;asset_class;name;exchange_code;currency;sector_code;country_iso2;is_active;listed_at;policy_code;attributes_json;symbole_yfinance
352;FR0000064578;EQ:FR:COVIVIO;equity;Covivio;XPAR;EUR;35;FR;True;;;"{""notes"": ""candidat screener yahoo 2026-08-21"", ""pea_motif"": ""Statut SIIC (exonération IS sur revenus locatifs) : exclue du PEA depuis la loi de finances 2012"", ""pea_eligible"": false, ""verification"": {""source"": ""yfinance"", ""status"": ""avertissement"", ""reasons"": ""isin_absent"", ""last_bar"": ""2026-08-17"", ""first_bar"": ""2000-01-03"", ""last_close"": 51.6, ""n_obs_weekly"": 1390, ""history_years"": 26.6, ""reported_name"": ""Covivio""}, ""stooq_symbol_unverified"": null}";COV.PA
416;;EQ:FR:COVIVIOHOTELS;equity;Covivio Hotels;XPAR;EUR;35;FR;True;;;"{""notes"": ""candidat screener yahoo 2026-08-21"", ""pea_motif"": ""Statut SIIC (exonération IS sur revenus locatifs) : exclue du PEA depuis la loi de finances 2012"", ""pea_eligible"": false, ""verification"": {""source"": ""yfinance"", ""status"": ""avertissement"", ""reasons"": ""isin_absent"", ""last_bar"": ""2026-08-17"", ""first_bar"": ""2000-01-03"", ""last_close"": 22.5, ""n_obs_weekly"": 1390, ""history_years"": 26.6, ""reported_name"": ""Covivio Hotels""}, ""stooq_symbol_unverified"": null}";COVH.PA
633;;EQ:FR:FREY;equity;Frey SA;XPAR;EUR;35;FR;True;;;"{""notes"": ""candidat screener yahoo 2026-08-21"", ""pea_motif"": ""Statut SIIC (exonération IS sur revenus locatifs) : exclue du PEA depuis la loi de finances 2012"", ""pea_eligible"": false, ""verification"": {""source"": ""yfinance"", ""status"": ""avertissement"", ""reasons"": ""isin_absent"", ""last_bar"": ""2026-08-17"", ""first_bar"": ""2008-03-31"", ""last_close"": 35.8, ""n_obs_weekly"": 960, ""history_years"": 18.4, ""reported_name"": ""Frey SA""}, ""stooq_symbol_unverified"": null}";FREY.PA
368;FR0010040865;EQ:FR:GECINA;equity;Gecina;XPAR;EUR;35;FR;True;;;"{""notes"": ""candidat screener yahoo 2026-08-21"", ""pea_motif"": ""Statut SIIC (exonération IS sur revenus locatifs) : exclue du PEA depuis la loi de finances 2012"", ""pea_eligible"": false, ""verification"": {""source"": ""yfinance"", ""status"": ""avertissement"", ""reasons"": ""isin_absent"", ""last_bar"": ""2026-08-17"", ""first_bar"": ""1992-07-06"", ""last_close"": 72.5, ""n_obs_weekly"": 1781, ""history_years"": 34.1, ""reported_name"": ""Gecina""}, ""stooq_symbol_unverified"": null}";GFC.PA
587;;EQ:FR:ICADE;equity;Icade;XPAR;EUR;35;FR;True;;;"{""notes"": ""candidat screener yahoo 2026-08-21"", ""pea_motif"": ""Statut SIIC (exonération IS sur revenus locatifs) : exclue du PEA depuis la loi de finances 2012"", ""pea_eligible"": false, ""verification"": {""source"": ""yfinance"", ""status"": ""avertissement"", ""reasons"": ""isin_absent"", ""last_bar"": ""2026-08-17"", ""first_bar"": ""2000-01-03"", ""last_close"": 18.77, ""n_obs_weekly"": 1390, ""history_years"": 26.6, ""reported_name"": ""Icade""}, ""stooq_symbol_unverified"": null}";ICAD.PA
281;;EQ:FR:KLEPIERRE;equity;Klépierre SA;XPAR;EUR;35;FR;True;;;"{""notes"": ""candidat screener yahoo 2026-08-21"", ""pea_motif"": ""Statut SIIC (exonération IS sur revenus locatifs) : exclue du PEA depuis la loi de finances 2012"", ""pea_eligible"": false, ""verification"": {""source"": ""yfinance"", ""status"": ""avertissement"", ""reasons"": ""isin_absent"", ""last_bar"": ""2026-08-17"", ""first_bar"": ""1992-07-06"", ""last_close"": 38.94, ""n_obs_weekly"": 1781, ""history_years"": 34.1, ""reported_name"": ""Klépierre SA""}, ""stooq_symbol_unverified"": null}";LI.PA
639;;EQ:FR:MERCIALYS;equity;Mercialys SA;XPAR;EUR;35;FR;True;;;"{""notes"": ""candidat screener yahoo 2026-08-21"", ""pea_motif"": ""Statut SIIC (exonération IS sur revenus locatifs) : exclue du PEA depuis la loi de finances 2012"", ""pea_eligible"": false, ""verification"": {""source"": ""yfinance"", ""status"": ""avertissement"", ""reasons"": ""isin_absent"", ""last_bar"": ""2026-08-17"", ""first_bar"": ""2005-10-10"", ""last_close"": 11.42, ""n_obs_weekly"": 1089, ""history_years"": 20.9, ""reported_name"": ""Mercialys SA""}, ""stooq_symbol_unverified"": null}";MERY.PA
261;;EQ:FR:UNIBAILRODAMCOWE;equity;Unibail-Rodamco-Westfield SE;XPAR;EUR;35;FR;True;;;"{""notes"": ""candidat screener yahoo 2026-08-21"", ""pea_motif"": ""Statut SIIC (exonération IS sur revenus locatifs) : exclue du PEA depuis la loi de finances 2012"", ""pea_eligible"": false, ""verification"": {""source"": ""yfinance"", ""status"": ""avertissement"", ""reasons"": ""isin_absent|historique_3.4a"", ""last_bar"": ""2026-08-17"", ""first_bar"": ""2023-04-10"", ""last_close"": 103.15, ""n_obs_weekly"": 176, ""history_years"": 3.4, ""reported_name"": ""Unibail-Rodamco-Westfield SE""}, ""stooq_symbol_unverified"": null}";URW.PA
515;;EQ:LU:AROUNDTOWN;equity;Aroundtown SA;XWBO;EUR;35;LU;True;;;"{""notes"": ""candidat screener yahoo 2026-08-21"", ""verification"": {""source"": ""yfinance"", ""status"": ""avertissement"", ""reasons"": ""isin_absent|historique_8.3a"", ""last_bar"": ""2026-08-17"", ""first_bar"": ""2018-05-14"", ""last_close"": 2.056, ""n_obs_weekly"": 432, ""history_years"": 8.3, ""reported_name"": ""Aroundtown SA""}, ""stooq_symbol_unverified"": null}";TOWN.VI
342;;EQ:LU:CPIPROPERTYGROUP;equity;CPI Property Group;XETR;EUR;35;LU;True;;;"{""notes"": ""candidat screener yahoo 2026-08-21"", ""verification"": {""source"": ""yfinance"", ""status"": ""avertissement"", ""reasons"": ""isin_absent"", ""last_bar"": ""2026-08-17"", ""first_bar"": ""2006-05-22"", ""last_close"": 0.735, ""n_obs_weekly"": 1057, ""history_years"": 20.2, ""reported_name"": ""CPI Property Group""}, ""stooq_symbol_unverified"": null}";O5G.DE
551;;EQ:LU:GRANDCITYPROPERT;equity;Grand City Properties S.A.;XWBO;EUR;35;LU;True;;;"{""notes"": ""candidat screener yahoo 2026-08-21"", ""verification"": {""source"": ""yfinance"", ""status"": ""avertissement"", ""reasons"": ""isin_absent|historique_9.0a"", ""last_bar"": ""2026-08-17"", ""first_bar"": ""2017-09-04"", ""last_close"": 9.22, ""n_obs_weekly"": 468, ""history_years"": 9.0, ""reported_name"": ""Grand City Properties S.A.""}, ""stooq_symbol_unverified"": null}";GYC.VI
334;;EQ:NL:CTP;equity;CTP N.V.;XAMS;EUR;35;NL;True;;;"{""notes"": ""candidat screener yahoo 2026-08-21"", ""verification"": {""source"": ""yfinance"", ""status"": ""avertissement"", ""reasons"": ""isin_absent|historique_5.4a"", ""last_bar"": ""2026-08-17"", ""first_bar"": ""2021-03-22"", ""last_close"": 14.38, ""n_obs_weekly"": 283, ""history_years"": 5.4, ""reported_name"": ""CTP N.V.""}, ""stooq_symbol_unverified"": null}";CTPNV.AS
576;;EQ:NL:EUROCOMMERCIALPR;equity;Eurocommercial Properties N.V.;XAMS;EUR;35;NL;True;;;"{""notes"": ""candidat screener yahoo 2026-08-21"", ""pea_motif"": ""Statut FBI (régime néerlandais équivalent SIIC) : exclue du PEA depuis la loi de finances 2012"", ""pea_eligible"": false, ""verification"": {""source"": ""yfinance"", ""status"": ""avertissement"", ""reasons"": ""isin_absent|historique_4.8a"", ""last_bar"": ""2026-08-17"", ""first_bar"": ""2021-10-18"", ""last_close"": 27.0, ""n_obs_weekly"": 253, ""history_years"": 4.8, ""reported_name"": ""Eurocommercial Properties N.V.""}, ""stooq_symbol_unverified"": null}";ECMPA.AS
691;;EQ:NL:WERELDHAVE;equity;Wereldhave N.V.;XAMS;EUR;35;NL;True;;;"{""notes"": ""candidat screener yahoo 2026-08-21"", ""pea_motif"": ""Statut FBI (régime néerlandais équivalent SIIC) : exclue du PEA depuis la loi de finances 2012"", ""pea_eligible"": false, ""verification"": {""source"": ""yfinance"", ""status"": ""avertissement"", ""reasons"": ""isin_absent"", ""last_bar"": ""2026-08-17"", ""first_bar"": ""2006-10-09"", ""last_close"": 18.52, ""n_obs_weekly"": 1037, ""history_years"": 19.9, ""reported_name"": ""Wereldhave N.V.""}, ""stooq_symbol_unverified"": null}";WHA.AS
